"행정구역","2025년01월_계_총인구수","2025년01월_계_연령구간인구수","2025년01월_계_0~9세","2025년01월_계_10~19세","2025년01월_계_20~29세","2025년01월_계_30~39세","2025년01월_계_40~49세","2025년01월_계_50~59세","2025년01월_계_60~69세","2025년01월_계_70~79세","2025년01월_계_80~89세","2025년01월_계_90~99세","2025년01월_계_100세 이상"
"서울특별시 강북구 번1동(1130559500)","16,320","16,320","418","786","2,699","2,412","2,265","2,750","2,492","1,635","784","75","4"
"서울특별시 강북구 번2동(1130560300)","14,545","14,545","422","780","1,676","1,542","1,840","2,503","2,697","1,950","1,023","109","3"
"서울특별시 강북구 번3동(1130560800)","15,963","15,963","599","1,064","1,568","1,595","1,920","2,706","2,750","2,354","1,272","131","4"
"서울특별시 강북구 수유1동(1130561500)","19,561","19,561","642","1,169","2,617","2,622","2,520","3,248","3,467","2,091","1,035","150","0"
"서울특별시 강북구 수유2동(1130562500)","20,195","20,195","751","1,160","2,382","2,325","2,548","3,551","3,657","2,335","1,321","161","4"
"서울특별시 강북구 수유3동(1130563500)","22,747","22,747","494","976","4,020","3,420","2,745","3,883","3,692","2,253","1,130","130","4"
"서울특별시 강북구 우이동(1130564500)","19,542","19,542","736","1,191","2,221","2,261","2,475","3,503","3,450","2,257","1,285","158","5"
"서울특별시 강북구 인수동(1130566000)","28,555","28,555","1,019","1,858","3,244","3,369","3,647","4,944","5,201","3,313","1,733","221","6"
"서울특별시 도봉구 (1132000000)","303,057","303,057","12,828","21,561","35,510","37,356","40,620","53,277","53,427","30,931","15,395","2,092","60"
"서울특별시 도봉구 창제1동(1132051100)","23,715","23,715","1,017","1,867","2,852","3,104","3,408","4,216","3,765","2,150","1,171","160","5"
"서울특별시 도봉구 창제2동(1132051200)","27,663","27,663","1,206","1,902","3,456","3,785","3,833","4,853","4,591","2,606","1,280","148","3"
"서울특별시 도봉구 창제3동(1132051300)","12,891","12,891","444","871","1,421","1,415","1,791","2,411","2,333","1,401","732","69","3"
"서울특별시 도봉구 창제4동(1132051400)","26,275","26,275","1,307","2,219","3,425","3,505","3,755","4,706","4,141","1,983","1,042","190","2"
"서울특별시 도봉구 창제5동(1132051500)","23,616","23,616","1,062","1,670","3,031","3,400","3,015","4,204","3,925","2,117","1,037","148","7"
"서울특별시 도봉구 도봉제1동(1132052100)","19,647","19,647","517","947","1,976","2,019","2,327","3,466","3,957","2,864","1,400","170","4"
"서울특별시 도봉구 도봉제2동(1132052200)","25,955","25,955","1,344","1,390","2,536","3,325","3,395","4,093","4,882","3,259","1,521","203","7"
"서울특별시 도봉구 쌍문제1동(1132066000)","20,599","20,599","830","1,342","2,648","2,370","2,653","3,656","3,580","2,157","1,219","139","5"
"서울특별시 도봉구 쌍문제2동(1132067000)","17,596","17,596","704","1,083","2,028","2,228","2,387","3,079","3,224","1,820","882","157","4"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,145","16,145","594","886","2,226","2,343","2,185","2,678","2,632","1,665","848","84","4"
"서울특별시 도봉구 쌍문제4동(1132068100)","17,844","17,844","858","1,793","1,990","2,111","2,564","3,110","3,142","1,467","694","114","1"
"서울특별시 도봉구 방학제1동(1132069000)","27,263","27,263","1,042","1,969","3,299","3,036","3,546","4,998","4,950","2,907","1,354","156","6"
"서울특별시 도봉구 방학제2동(1132070000)","18,064","18,064","567","1,131","1,985","1,934","2,186","3,426","3,500","2,121","1,097","117","0"
"서울특별시 도봉구 방학제3동(1132071000)","25,784","25,784","1,336","2,491","2,637","2,781","3,575","4,381","4,805","2,414","1,118","237","9"
"서울특별시 노원구 (1135000000)","490,307","490,307","24,327","45,074","63,784","60,595","71,676","85,844","73,236","42,149","20,384","3,149","89"
